rank,name,team,position,bye,adp,hasMarketAdp,fairRank,marketDelta,marketLabel,lateRoundLabel,week1Projection,seasonProjection,projectedGames,riskScore,riskTags,joannaNote,jeffNote
363,Jared Wiley,KC,TE,5,500,false,363,137,Late Only,Bench clog risk,0.46,8.17,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 363, no ADP; Yahoo rank 2149, delta +137. Season 0.5 ppg, Week 1 0.5, risk 1.8."
364,Audric Estime,NO,RB,8,382,false,364,18,Late Only,Bench clog risk,0.75,13.93,12,2.2,Q; Ankle; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 364, no ADP; Yahoo rank 382, delta +18. Season 0.8 ppg, Week 1 0.8, risk 2.2 (Q; Ankle; 12 projected games)."
365,Davis Allen,LAR,TE,11,500,false,365,135,Late Only,Bench clog risk,0.88,12.08,12,2.2,Q; Quadriceps; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 365, no ADP; Yahoo rank 2098, delta +135. Season 0.7 ppg, Week 1 0.9, risk 2.2 (Q; Quadriceps; 12 projected games)."
366,Hunter Long,JAX,TE,7,500,false,366,134,Late Only,Bench clog risk,0.32,5.8,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 366, no ADP; Yahoo rank 2084, delta +134. Season 0.3 ppg, Week 1 0.3, risk 1.8."
367,Jack Velling,ATL,TE,11,500,false,367,133,Late Only,Bench clog risk,0.19,5.3,8,1.8,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 367, no ADP; Yahoo rank 2224, delta +133. Season 0.3 ppg, Week 1 0.2, risk 1.8 (8 projected games)."
368,Bam Knight,ARI,RB,14,500,false,368,132,Late Only,Bench clog risk,0.26,5.2,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 368, no ADP; Yahoo rank 2040, delta +132. Season 0.3 ppg, Week 1 0.3, risk 1.8."
369,Phil Mafah,DAL,RB,14,290,false,369,-79,Late Only,Bench clog risk,1.08,14.56,8,2.5,Q; Chest; 8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 369, no ADP; Yahoo rank 290, delta -79. Season 0.9 ppg, Week 1 1.1, risk 2.5 (Q; Chest; 8 projected games)."
370,Luke Musgrave,GB,TE,11,500,false,370,130,Late Only,Bench clog risk,2,31.89,16,3.5,PUP; Neck,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 370, no ADP; Yahoo rank 2114, delta +130. Season 1.9 ppg, Week 1 2.0, risk 3.5 (PUP; Neck)."
371,Elijah Moore,PHI,WR,10,500,false,371,129,Late Only,Bench clog risk,0.19,1.62,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 371, no ADP; Yahoo rank 2255, delta +129. Season 0.1 ppg, Week 1 0.2, risk 1.8."
372,Jelani Woods,NYJ,TE,13,500,false,372,128,Late Only,Bench clog risk,0.13,1.13,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 372, no ADP; Yahoo rank 2219, delta +128. Season 0.1 ppg, Week 1 0.1, risk 1.8."
373,Robert Tonyan,PIT,TE,9,500,false,373,127,Late Only,Bench clog risk,0.06,1.4,4,1.8,4 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 373, no ADP; Yahoo rank 2151, delta +127. Season 0.1 ppg, Week 1 0.1, risk 1.8 (4 projected games)."
374,Dallen Bentley,DEN,TE,10,500,false,374,126,Late Only,Bench clog risk,0.12,0.97,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 374, no ADP; Yahoo rank 2162, delta +126. Season 0.1 ppg, Week 1 0.1, risk 1.8."
375,Nick Vannett,SEA,TE,11,500,false,375,125,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 375, no ADP; Yahoo rank 2115, delta +125. Season 0.0 ppg, Week 1 0.0, risk 1.8."
376,CJ Dippre,NE,TE,11,500,false,376,124,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 376, no ADP; Yahoo rank 2125, delta +124. Season 0.0 ppg, Week 1 0.0, risk 1.8."
377,Evan Svoboda,LAC,TE,7,500,false,377,123,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 377, no ADP; Yahoo rank 2129, delta +123. Season 0.0 ppg, Week 1 0.0, risk 1.8."
378,Chris Myarick,LV,TE,13,500,false,378,122,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 378, no ADP; Yahoo rank 2131, delta +122. Season 0.0 ppg, Week 1 0.0, risk 1.8."
379,Albert Okwuegbunam Jr.,LV,TE,13,500,false,379,121,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 379, no ADP; Yahoo rank 2132, delta +121. Season 0.0 ppg, Week 1 0.0, risk 1.8."
380,Bauer Sharp,TB,TE,10,500,false,380,120,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 380, no ADP; Yahoo rank 2133, delta +120. Season 0.0 ppg, Week 1 0.0, risk 1.8."
381,DJ Rogers,DAL,TE,14,500,false,381,119,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 381, no ADP; Yahoo rank 2136, delta +119. Season 0.0 ppg, Week 1 0.0, risk 1.8."
382,Messiah Swinson,GB,TE,11,500,false,382,118,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 382, no ADP; Yahoo rank 2138, delta +118. Season 0.0 ppg, Week 1 0.0, risk 1.8."
383,Tanner Arkin,NE,TE,11,500,false,383,117,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 383, no ADP; Yahoo rank 2139, delta +117. Season 0.0 ppg, Week 1 0.0, risk 1.8."
384,Johnny Pascuzzi,LAC,TE,7,500,false,384,116,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 384, no ADP; Yahoo rank 2140, delta +116. Season 0.0 ppg, Week 1 0.0, risk 1.8."
385,Connor Hulstein,NYJ,TE,13,500,false,385,115,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 385, no ADP; Yahoo rank 2141, delta +115. Season 0.0 ppg, Week 1 0.0, risk 1.8."
386,Treyton Welch,NO,TE,8,500,false,386,114,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 386, no ADP; Yahoo rank 2147, delta +114. Season 0.0 ppg, Week 1 0.0, risk 1.8."
387,Mitch Van Vooren,DAL,TE,14,500,false,387,113,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 387, no ADP; Yahoo rank 2148, delta +113. Season 0.0 ppg, Week 1 0.0, risk 1.8."
388,Tre Watson,KC,TE,5,500,false,388,112,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 388, no ADP; Yahoo rank 2150, delta +112. Season 0.0 ppg, Week 1 0.0, risk 1.8."
389,Patrick Gurd,LV,TE,13,500,false,389,111,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 389, no ADP; Yahoo rank 2155, delta +111. Season 0.0 ppg, Week 1 0.0, risk 1.8."
390,E.J. Jenkins,PHI,TE,10,500,false,390,110,Late Only,Bench clog risk,0,0,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 390, no ADP; Yahoo rank 2156, delta +110. Season 0.0 ppg, Week 1 0.0, risk 1.8."
